күн; n; nom; sg; 3sg
жакшы; adj
мажбур; adj
аюум; n; nom; sg; p1sg
аюуң; n; nom; sg; p2sg
келгем; v; past; px1sg
бар; v
жок; v
саламатсыңарбы; syr
саламатчылык; syr
эже-агайлар; n; nom; pl; p3pl
агай-эжелер; n; nom; pl; p3pl
Бугунку; adv
глобалдык; adj
таза; adj
жер; n; nom; sg; 3sg
рейтинг; n; nom; sg; 3sg
деп; v; gna
деген; v; pcp_ps
экен; cop; ger
эмес; cop; neg
болот; v
алып; v; act; advv_acc
бол; v; act; imp
алса; v; act; cnd
болсо; v; act; cnd
жол; n; nom; sg; 3sg
жана; conj
деди; v; act; ind_past
керек; mod
калды; v; act; ind_past
өзүн; pn; qnt
калган; v; act; pcp_ps
ич; v; act; imp
турат; v
алды; v; act; ind_past
болду; v; act; ind_past
алат; v; act; ind_fut
жатат; v; act; ind_fut
келет; v;act; ind_fut
дейт; v
берет; v; act; ind_fut
кет; v; act; imp
учуу; v; act; ger
алган; v; act; pcp_ps
кылып; v; act; advv_acc
ала; adj
кел; v; act; imp
бер; v; act; imp
берүү; v; act; imp
айткан; v; act; pcp_ps
айтып; v; act; advv_acc
туура; adj
тарап; v; act; advv_acc
чык; v; act; imp
чыгып; v; act; advv_acc
карап; v; act; advv_acc
окуу; v; act; imp
аз; adj
мындай; adj
жүр; v; act; imp
туруп; v; act; advv_acc
албай; v; neg; gna_impf
жаңы; adj
оо; intrj
бил; v; act; imp
жалпы; adj
форма; n; nom; sg; 3sg
калып; v; act; advv_acc
көр; v; act; imp
тарт; v; act; imp
элек; n; nom; sg; 3sg
кылган; v; act; pcp_ps
улам; adv
күт; v; act; imp
бас; v; act; imp
тий; v; act; imp
суроо; n; nom; sg; 3sg
коюп; v; advv_acc
кетет; v; act; ind_fut
алыш; v; ger_pres
кылат; v; act; ind_fut
отур; v; act; imp
өс; v; act; imp
деңгээл; n; nom; sg; 3sg
жап; v; act; imp
кетенчикте; v; act; imp
сактан; v; act; imp
сат; v; act; imp
батыр; v; act; imp
кечик; v; act; imp
айлан; v; act; imp
алдаста; v; act; imp
алмаш; v; act; imp
баамда; v; act; imp
байка; v; act; imp
